GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,LengthFG,Description,PlayType,Outcome,OutcomePts,FieldGoalMade
2019112402,2019-11-24,2,2,0,NYG,CHI,4,5,75,43,"(2:00) (FIELD GOAL FORMATION) 2-A.ROSAS 43 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-51-Z.DEOSSIE, HOLDER-9-R.DIXON.",FIELD GOAL,IS NO GOOD,0,0
2019112402,2019-11-24,2,5,50,NYG,CHI,4,5,76,42,"(5:50) (FIELD GOAL FORMATION) 2-A.ROSAS 42 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-51-Z.DEOSSIE, HOLDER-9-R.DIXON.",FIELD GOAL,IS NO GOOD,0,0
2019112407,2019-11-24,2,5,48,WAS,DET,4,17,81,37,"(5:48) 3-D.HOPKINS 37 YARD FIELD GOAL IS GOOD, CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY.",FIELD GOAL,IS GOOD,3,1
2019112404,2019-11-24,4,6,54,CLE,MIA,4,7,92,26,"(6:54) 4-A.SEIBERT 26 YARD FIELD GOAL IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-7-J.GILLAN.",FIELD GOAL,IS GOOD,3,1
2019112404,2019-11-24,4,11,25,CLE,MIA,4,6,79,40,"(11:25) 4-A.SEIBERT 40 YARD FIELD GOAL IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-7-J.GILLAN.",FIELD GOAL,IS GOOD,3,1
2019112400,2019-11-24,4,12,53,TB,ATL,4,4,86,32,"(12:53) 9-M.GAY 32 YARD FIELD GOAL IS GOOD, CENTER-97-Z.TRINER, HOLDER-8-B.PINION.",FIELD GOAL,IS GOOD,3,1
2019111707,2019-11-17,4,4,37,NYJ,WAS,4,4,69,49,"(4:37) 9-S.FICKEN 49 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-42-T.HENNESSY, HOLDER-4-L.EDWARDS.",FIELD GOAL,IS NO GOOD,0,0
2019111706,2019-11-17,1,0,54,NO,TB,4,8,92,26,"(:54) 3-W.LUTZ 26 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-6-T.MORSTEAD.",FIELD GOAL,IS GOOD,3,1
2019111706,2019-11-17,1,8,49,NO,TB,4,6,74,44,"(8:49) 3-W.LUTZ 44 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-6-T.MORSTEAD.",FIELD GOAL,IS GOOD,3,1
2019111705,2019-11-17,4,8,19,DEN,MIN,4,3,75,43,"(8:19) 8-B.MCMANUS 43 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-42-C.KREITER, HOLDER-6-C.WADMAN.",FIELD GOAL,IS NO GOOD,0,0
2019111701,2019-11-17,4,7,5,ATL,CAR,4,11,89,29,"(7:05) (FIELD GOAL FORMATION) 7-Y.KOO 29 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-9-R.ALLEN. PENALTY ON CAR-26-D.JACKSON, DEFENSIVE OFFSIDE, DECLINED.",FIELD GOAL,IS GOOD,3,1
2019111701,2019-11-17,4,13,4,CAR,ATL,4,7,87,31,"(13:04) (FIELD GOAL FORMATION) 4-J.SLYE 31 YARD FIELD GOAL IS GOOD, CENTER-44-J.JANSEN, HOLDER-5-M.PALARDY.",FIELD GOAL,IS GOOD,3,1
2019111701,2019-11-17,2,5,45,ATL,CAR,4,4,95,23,"(5:45) (FIELD GOAL FORMATION) 7-Y.KOO 23 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-9-R.ALLEN.",FIELD GOAL,IS GOOD,3,1
2019112407,2019-11-24,1,9,57,DET,WAS,4,6,79,39,"(9:57) 5-M.PRATER 39 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-48-D.MUHLBACH, HOLDER-6-S.MARTIN.",FIELD GOAL,IS NO GOOD,0,0
2019112401,2019-11-24,1,1,15,BUF,DEN,4,11,79,39,"(1:15) 4-S.HAUSCHKA 39 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-9-C.BOJORQUEZ.",FIELD GOAL,IS GOOD,3,1
2019112400,2019-11-24,4,8,16,ATL,TB,4,16,80,38,"(8:16) 7-Y.KOO 38 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-9-R.ALLEN.",FIELD GOAL,IS GOOD,3,1
2019111800,2019-11-18,2,1,47,KC,LAC,4,7,77,41,"(1:47) (FIELD GOAL FORMATION) 7-H.BUTKER 41 YARD FIELD GOAL IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-2-D.COLQUITT.",FIELD GOAL,IS GOOD,3,1
2019111800,2019-11-18,2,5,3,LAC,KC,4,8,92,26,"(5:03) (FIELD GOAL FORMATION) 4-M.BADGLEY 26 YARD FIELD GOAL IS GOOD, CENTER-45-C.MAZZA, HOLDER-1-T.LONG.",FIELD GOAL,IS GOOD,3,1
2019111708,2019-11-17,3,2,58,ARI,SF,4,10,75,43,"(2:58) 5-Z.GONZALEZ 43 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-4-A.LEE.",FIELD GOAL,IS GOOD,3,1
2019111708,2019-11-17,2,0,3,SF,ARI,4,19,75,43,"(:03) 5-C.MCLAUGHLIN 43 YARD FIELD GOAL IS GOOD, CENTER-86-K.NELSON, HOLDER-6-M.WISHNOWSKY.",FIELD GOAL,IS GOOD,3,1
2019112100,2019-11-21,3,2,47,HOU,IND,4,4,82,36,"(2:47) 7-K.FAIRBAIRN 36 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-9-B.ANGER.",FIELD GOAL,IS GOOD,3,1
2019112100,2019-11-21,2,0,2,IND,HOU,1,10,82,36,"(:02) 4-A.VINATIERI 36 YARD FIELD GOAL IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",FIELD GOAL,IS GOOD,3,1
