name,TSID,turn_in_leg,pbt_start,n_throws,triple_seq,n_success,wonprevious
Simon Whitlock,288,1,501,3,1 1 1,3,0
Simon Whitlock,288,2,324,3,1 0 0,1,0
Simon Whitlock,288,3,226,1,1,1,0
Simon Whitlock,289,1,501,3,1 0 0,1,1
Simon Whitlock,289,2,423,3,0 0 0,0,1
Simon Whitlock,289,3,377,3,1 1 0,2,1
Simon Whitlock,290,1,501,3,0 0 1,1,0
Simon Whitlock,290,2,404,3,0 0 1,1,0
Simon Whitlock,290,3,309,3,0 0 0,0,0
Simon Whitlock,290,4,248,2,1 1,2,0
Simon Whitlock,291,1,501,3,1 0 1,2,0
Simon Whitlock,291,2,361,3,1 1 1,3,0
Simon Whitlock,291,3,181,1,0,0,0
Simon Whitlock,292,1,501,3,1 0 1,2,0
Simon Whitlock,292,2,361,3,0 1 1,2,0
Simon Whitlock,292,3,227,3,0 0 0,0,0
Simon Whitlock,293,1,501,3,0 0 0,0,0
Simon Whitlock,293,2,444,3,0 1 0,1,0
Simon Whitlock,293,3,363,3,0 1 1,2,0
Simon Whitlock,293,4,232,1,1,1,0
Simon Whitlock,294,1,501,3,0 1 0,1,1
Simon Whitlock,294,2,405,3,1 0 0,1,1
Simon Whitlock,294,3,306,3,1 1 0,2,1
Simon Whitlock,295,1,501,3,0 0 0,0,0
Simon Whitlock,295,2,442,3,1 0 0,1,0
Simon Whitlock,295,3,347,3,0 1 1,2,0
Simon Whitlock,295,4,207,2,0 1,1,0
Simon Whitlock,296,1,501,3,0 0 0,0,0
Simon Whitlock,296,2,442,3,1 1 0,2,0
Simon Whitlock,296,3,302,3,0 1 1,2,0
Simon Whitlock,297,1,501,3,0 0 0,0,1
Simon Whitlock,297,2,444,3,0 0 0,0,1
Simon Whitlock,297,3,387,3,0 0 0,0,1
Simon Whitlock,297,4,328,3,0 1 0,1,1
Simon Whitlock,297,5,230,1,1,1,1
Simon Whitlock,298,1,501,3,0 0 0,0,1
Simon Whitlock,298,2,460,3,0 0 0,0,1
Simon Whitlock,298,3,418,3,0 1 0,1,1
Simon Whitlock,298,4,334,3,0 0 0,0,1
Simon Whitlock,298,5,278,3,0 0 0,0,1
Simon Whitlock,298,6,220,1,1,1,1
Simon Whitlock,299,1,501,3,1 0 1,2,1
Simon Whitlock,299,2,381,3,0 0 1,1,1
Simon Whitlock,299,3,286,3,0 0 0,0,1
Simon Whitlock,299,4,228,1,1,1,1
Simon Whitlock,300,1,501,3,1 0 0,1,0
Simon Whitlock,300,2,401,3,0 1 1,2,0
Simon Whitlock,300,3,267,3,0 0 0,0,0
Simon Whitlock,300,4,208,1,1,1,0
Simon Whitlock,301,1,501,3,0 0 0,0,1
Simon Whitlock,301,2,444,3,0 0 1,1,1
Simon Whitlock,301,3,344,3,0 1 1,2,1
Simon Whitlock,301,4,204,1,1,1,1
Simon Whitlock,302,1,501,3,1 1 1,3,0
Simon Whitlock,302,2,321,3,1 0 1,2,0
Simon Whitlock,302,3,182,1,0,0,0
Simon Whitlock,303,1,501,3,1 0 0,1,1
Simon Whitlock,303,2,401,3,1 1 1,3,1
Simon Whitlock,303,3,221,2,0 1,1,1
Simon Whitlock,304,1,501,3,0 0 0,0,1
Simon Whitlock,304,2,442,3,0 0 0,0,1
Simon Whitlock,304,3,412,3,1 1 0,2,1
Simon Whitlock,304,4,277,3,0 1 0,1,1
Simon Whitlock,304,5,193,1,1,1,1
Simon Whitlock,305,1,501,3,0 1 0,1,1
Simon Whitlock,305,2,405,3,0 1 1,2,1
Simon Whitlock,305,3,271,3,1 0 0,1,1
Simon Whitlock,305,4,188,1,0,0,1
Simon Whitlock,306,1,501,3,1 1 1,3,1
Simon Whitlock,306,2,330,3,1 1 1,3,1
Simon Whitlock,307,1,501,3,1 1 1,3,1
Simon Whitlock,307,2,321,3,0 0 1,1,1
Simon Whitlock,307,3,243,2,0 1,1,1
Simon Whitlock,308,1,501,3,0 0 0,0,1
Simon Whitlock,308,2,441,3,0 0 0,0,1
Simon Whitlock,308,3,384,3,0 0 0,0,1
Simon Whitlock,308,4,339,3,0 1 0,1,1
Simon Whitlock,308,5,255,2,0 1,1,1
Simon Whitlock,309,1,501,3,0 1 0,1,1
Simon Whitlock,309,2,420,3,1 1 1,3,1
Simon Whitlock,309,3,240,2,1 0,1,1
Simon Whitlock,310,1,501,3,1 0 1,2,1
Simon Whitlock,310,2,361,3,1 0 0,1,1
Simon Whitlock,310,3,261,2,1 1,2,1
Simon Whitlock,311,1,501,3,1 0 1,2,1
Simon Whitlock,311,2,361,3,1 0 0,1,1
Simon Whitlock,311,3,261,3,0 1 0,1,1
Simon Whitlock,312,1,501,3,1 0 0,1,0
Simon Whitlock,312,2,401,3,0 0 1,1,0
Simon Whitlock,312,3,308,3,1 1 0,2,0
Simon Whitlock,312,4,180,1,0,0,0
Simon Whitlock,313,1,501,3,0 0 0,0,0
Simon Whitlock,313,2,441,3,0 0 0,0,0
Simon Whitlock,313,3,401,3,0 1 1,2,0
Simon Whitlock,313,4,261,3,0 0 1,1,0
Simon Whitlock,314,1,501,3,0 0 0,0,1
Simon Whitlock,314,2,441,3,0 1 0,1,1
Simon Whitlock,314,3,341,3,0 0 0,0,1
Simon Whitlock,314,4,284,3,0 0 0,0,1
Simon Whitlock,315,1,501,3,1 1 0,2,0
Simon Whitlock,315,2,361,3,0 0 0,0,0
Simon Whitlock,315,3,304,3,0 0 1,1,0
Simon Whitlock,315,4,204,2,0 1,1,0
Simon Whitlock,316,1,501,3,1 1 0,2,0
Simon Whitlock,316,2,361,3,0 0 0,0,0
Simon Whitlock,316,3,304,3,0 1 1,2,0
Simon Whitlock,317,1,501,3,0 0 1,1,0
Simon Whitlock,317,2,404,3,0 0 0,0,0
Simon Whitlock,317,3,346,3,0 0 0,0,0
Simon Whitlock,317,4,286,3,0 0 1,1,0
Simon Whitlock,317,5,196,1,1,1,0
Simon Whitlock,318,1,501,3,0 1 1,2,0
Simon Whitlock,318,2,361,3,0 0 0,0,0
Simon Whitlock,318,3,317,3,0 0 0,0,0
Simon Whitlock,318,4,260,3,0 0 0,0,0
Simon Whitlock,318,5,200,2,0 1,1,0
Simon Whitlock,319,1,501,3,0 0 0,0,1
Simon Whitlock,319,2,441,3,0 0 0,0,1
Simon Whitlock,319,3,400,3,1 1 1,3,1
Simon Whitlock,319,4,220,3,0 0 0,0,1
Simon Whitlock,320,1,501,3,0 1 1,2,0
Simon Whitlock,320,2,367,3,0 0 1,1,0
Simon Whitlock,320,3,274,2,1 1,2,0
Simon Whitlock,321,1,501,3,0 0 0,0,0
Simon Whitlock,321,2,460,3,0 0 0,0,0
Simon Whitlock,321,3,400,3,0 0 0,0,0
Simon Whitlock,321,4,342,3,1 1 0,2,0
Simon Whitlock,322,1,501,3,0 1 0,1,0
Simon Whitlock,322,2,401,3,0 0 0,0,0
Simon Whitlock,322,3,360,3,0 1 1,2,0
Simon Whitlock,322,4,226,2,0 1,1,0
Simon Whitlock,323,1,501,3,0 0 1,1,1
Simon Whitlock,323,2,423,3,0 0 1,1,1
Simon Whitlock,323,3,324,3,1 0 0,1,1
Simon Whitlock,323,4,224,2,0 1,1,1
Simon Whitlock,324,1,501,3,0 0 1,1,1
Simon Whitlock,324,2,404,3,0 1 1,2,1
Simon Whitlock,324,3,270,3,1 0 0,1,1
Simon Whitlock,325,1,501,3,1 0 0,1,0
Simon Whitlock,325,2,401,3,0 0 0,0,0
Simon Whitlock,325,3,341,3,0 1 1,2,0
Simon Whitlock,325,4,202,1,1,1,0
Simon Whitlock,326,1,501,3,0 1 1,2,1
Simon Whitlock,326,2,361,3,0 0 1,1,1
Simon Whitlock,326,3,280,3,0 1 0,1,1
Simon Whitlock,326,4,199,2,0 0,0,1
Simon Whitlock,327,1,501,3,1 0 0,1,0
Simon Whitlock,327,2,401,3,0 0 0,0,0
Simon Whitlock,327,3,344,3,0 1 0,1,0
Simon Whitlock,327,4,258,3,1 0 0,1,0
Simon Whitlock,328,1,501,3,0 0 0,0,0
Simon Whitlock,328,2,442,3,0 1 0,1,0
Simon Whitlock,328,3,342,3,0 0 0,0,0
Simon Whitlock,328,4,287,3,1 0 0,1,0
Simon Whitlock,328,5,187,1,0,0,0
Simon Whitlock,329,1,501,3,0 0 0,0,1
